tconst	parentTconst	seasonNumber	episodeNumber
tt0041951	tt0041038	1	9
tt0042816	tt0989125	1	17
tt0042889	tt0989125	\N	\N
tt0043426	tt0040051	3	42
tt0043631	tt0989125	2	16
tt0043693	tt0989125	2	\N
tt0043710	tt0989125	\N	3
tt0044093	tt0959862	1	6
tt0044668	tt0044243	2	16
tt0044901	tt0989125	3	46
tt0045519	tt0989125	4	11
tt0045960	tt0044284	2	3
tt0046135	tt0989125	4	5
tt0046150	tt0341798	\N	\N
tt0046855	tt0046643	1	4
tt0046864	tt0989125	5	20
tt0047810	tt0914702	3	36
tt0047852	tt0047745	1	15
tt0047858	tt0046637	2	9
tt0047961	tt0989125	6	5
tt0048067	tt0046587	2	20
tt0048302	tt0047768	1	6
tt0048371	tt0989125	6	11
tt0048378	tt0047702	1	6
tt0048462	tt0047702	1	3
tt0048562	tt0047768	1	10
tt0048883	tt0989125	6	42
tt0049473	tt0046593	1	20
tt0049572	tt0914702	1	30
tt0049669	tt0048893	1	2
tt0050031	tt0050013	1	4
tt0050259	tt0048893	1	20
tt0050318	tt0046593	4	1
tt0050320	tt0914702	3	39
tt0050641	tt4280482	1	1
tt0050678	tt0161126	2	11
tt0050695	tt0046637	3	6
tt0050988	tt0048893	1	16
tt0051344	tt0050013	1	6
tt0051523	tt0048893	3	2
tt0051625	tt0048893	2	15
tt0051680	tt0161126	3	9
tt0051763	tt0453991	1	8
tt0051929	tt0989125	9	45
tt0052128	tt0441950	4	2
tt0052236	tt0793361	1	2
tt0052237	tt0793361	1	5
tt0052238	tt0793361	1	4
tt0052239	tt0793361	1	3
tt0052240	tt0793361	1	1
tt0052241	tt0793361	1	6
tt0052290	tt1646046	1	10
tt0052628	tt0914702	4	18
tt0052630	tt0050013	2	9
tt0052647	tt4280486	1	8
tt0052730	tt0320048	1	11
tt0052856	tt0052458	1	13
tt0052857	tt0259792	\N	\N
tt0052866	tt0259792	\N	\N
tt0052874	tt0050013	2	6
tt0052931	tt0914702	3	28
tt0052952	tt4280486	1	1
tt0053303	tt0793361	2	3
tt0053304	tt0793361	2	2
tt0053305	tt0793361	2	1
tt0053343	tt1845727	1	1
tt0053384	tt0052511	1	3
tt0053405	tt0259792	\N	\N
tt0053581	tt0048893	4	14
tt0053722	tt0190181	1	6
tt0053723	tt0190181	1	2
tt0053827	tt0341798	4	17
tt0053966	tt0048893	4	8
tt0053974	tt0348926	1	5
tt0054015	tt0051312	2	1
tt0054028	tt0259792	\N	\N
tt0054057	tt0190181	1	5
tt0054062	tt0259792	\N	\N
tt0054087	tt0259792	\N	\N
tt0054319	tt0052511	1	33
tt0054338	tt0793361	3	1
tt0054339	tt0793361	3	3
tt0054340	tt0793361	3	2
tt0054645	tt0190181	2	4
tt0054654	tt0190181	2	8
tt0054754	tt0190181	2	3
tt0054794	tt0914702	4	27
tt0054796	tt0190181	3	6
tt0054994	tt0046593	8	2
tt0054996	tt0320048	1	10
tt0055130	tt0190181	2	5
tt0055131	tt0161126	4	27
tt0055132	tt0190181	2	2
tt0055203	tt0161126	4	47
tt0055250	tt0259792	\N	\N
tt0055281	tt0190181	1	7
tt0055314	tt0914702	6	26
tt0055334	tt0259792	\N	\N
tt0055359	tt0990935	2	20
tt0055387	tt0161126	4	43
tt0055433	tt0914702	7	8
tt0055443	tt0161126	4	36
tt0055476	tt0793361	4	2
tt0055477	tt0793361	4	1
tt0055704	tt0793361	5	2
tt0055808	tt0054532	1	28
tt0055929	tt0046593	10	17
tt0055952	tt0259792	\N	\N
tt0055961	tt0046593	9	2
tt0055989	tt0054513	2	1
tt0056033	tt0046593	9	1
tt0056152	tt10275908	1	4
tt0056199	tt0259792	\N	\N
tt0056250	tt0046593	9	10
tt0056266	tt0055685	1	18
tt0056295	tt0190181	3	1
tt0056324	tt0055685	1	4
tt0056359	tt0259792	\N	\N
tt0056373	tt0046593	8	21
tt0056374	tt0990935	4	21
tt0056398	tt2199914	1	7
tt0056441	tt0046593	9	6
tt0056476	tt0914702	4	49
tt0056508	tt0190181	3	5
tt0056523	tt0793361	5	1
tt0056525	tt0403808	2	5
tt0056578	tt0055663	\N	\N
tt0056590	tt0190181	3	2
tt0056798	tt0190181	4	2
tt0056809	tt0190181	5	2
tt0056980	tt0259792	\N	\N
tt0057010	tt0190181	4	7
tt0057157	tt0046593	10	1
tt0057201	tt0046593	9	16
tt0057255	tt0046593	9	15
tt0057260	tt0969924	3	21
tt0057451	tt0190181	4	5
tt0057456	tt0190181	4	6
tt0057526	tt0793361	6	1
tt0057585	tt0242203	3	1
tt0057668	tt0046593	10	5
tt0057671	tt10275908	2	18
tt0057672	tt0259792	\N	\N
tt0057817	tt0190181	5	8
tt0057828	tt10306302	1	24
tt0057850	tt10283858	1	2
tt0057856	tt10275908	2	53
tt0057867	tt0046593	10	12
tt0057874	tt0259792	\N	\N
tt0057927	tt1384817	1	7
tt0057947	tt10275908	2	66
tt0057959	tt1314953	1	11
tt0057976	tt0969924	4	2
tt0058015	tt0497975	1	1
tt0058035	tt0259792	\N	\N
tt0058078	tt0190181	5	9
tt0058116	tt0056754	1	23
tt0058141	tt10275908	2	61
tt0058180	tt10275908	2	64
tt0058302	tt0217931	\N	\N
tt0058568	tt10275908	2	83
tt0058613	tt0793361	7	1
tt0058614	tt0793361	7	2
tt0058640	tt0046593	11	7
tt0058746	tt0190181	5	7
tt0058893	tt0058853	1	34
tt0058900	tt0259792	\N	\N
tt0058908	tt0969640	1	2
tt0058914	tt0212699	1	7
tt0058916	tt0212698	3	4
tt0058927	tt0058853	1	25
tt0058931	tt0405611	1	3
tt0058937	tt0046593	12	19
tt0058984	tt0058853	1	41
tt0058989	tt0969640	1	1
tt0059011	tt0058853	1	18
tt0059020	tt0058853	1	72
tt0059047	tt0212698	3	10
tt0059048	tt0969640	1	11
tt0059053	tt0058853	1	17
tt0059061	tt0058836	1	2
tt0059086	tt0969640	1	8
tt0059092	tt0190181	6	4
tt0059158	tt0212698	3	1
tt0059165	tt0212699	1	12
tt0059191	tt0058853	1	29
tt0059198	tt0058836	1	8
tt0059225	tt0058853	1	35
tt0059230	tt0212699	1	2
tt0059286	tt0405611	1	1
tt0059333	tt0165593	1	3
tt0059396	tt0969640	1	5
tt0059420	tt0165593	1	7
tt0059450	tt0969924	4	14
tt0059451	tt0212698	3	5
tt0059461	tt0212699	1	5
tt0059476	tt0212699	1	10
tt0059510	tt0212698	3	11
tt0059513	tt0058836	1	1
tt0059523	tt0212698	3	12
tt0059537	tt0969640	1	7
tt0059566	tt0212699	1	1
tt0059569	tt0165593	1	2
tt0059571	tt0212699	1	13
tt0059591	tt0058853	1	69
tt0059658	tt0212698	3	3
tt0059708	tt0058853	1	33
tt0059717	tt0212698	3	8
tt0059751	tt0793361	7	3
tt0059752	tt0058853	1	42
tt0059753	tt0060028	1	0
tt0059759	tt0190181	6	3
tt0059808	tt0058836	1	5
tt0059822	tt0058853	1	40
tt0059830	tt0058853	1	38
tt0059847	tt0212698	2	15
tt0059849	tt1157603	1	1
tt0059854	tt0058853	1	37
tt0059886	tt0058853	1	43
tt0060031	tt0212698	4	0
tt0060100	tt0212698	4	7
tt0060119	tt0058853	1	62
tt0060166	tt0058853	1	57
tt0060180	tt0058853	1	45
tt0060202	tt0058853	1	48
tt0060208	tt0233023	1	7
tt0060211	tt0212699	1	29
tt0060217	tt0212699	1	20
tt0060235	tt0212698	3	17
tt0060255	tt0058853	1	60
tt0060257	tt0165593	2	3
tt0060282	tt0233023	1	2
tt0060284	tt0165593	2	2
tt0060292	tt0165593	1	8
tt0060322	tt0212698	3	15
tt0060331	tt1711895	1	13
tt0060365	tt0212699	1	33
tt0060367	tt0212699	1	27
tt0060370	tt0212699	1	15
tt0060384	tt0233023	1	9
tt0060387	tt0058836	2	7
tt0060394	tt0212698	4	8
tt0060403	tt0058836	2	9
tt0060412	tt0212698	3	28
tt0060419	tt0212698	3	16
tt0060425	tt0212699	1	16
tt0060428	tt0058836	2	2
tt0060460	tt0212698	3	36
tt0060470	tt0165593	1	4
tt0060493	tt0058853	1	71
tt0060506	tt0058853	1	68
tt0060556	tt0815352	\N	\N
tt0060567	tt0861682	1	5
tt0060634	tt0058853	1	76
tt0060643	tt0058836	2	1
tt0060644	tt0058853	1	53
tt0060656	tt0190181	5	11
tt0060657	tt0165593	2	4
tt0060663	tt0212698	3	21
tt0060682	tt0058853	1	77
tt0060715	tt0046593	13	16
tt0060727	tt0861682	1	11
tt0060772	tt0212699	2	9
tt0060781	tt0212698	3	34
tt0060844	tt0212699	2	6
tt0060875	tt0212698	3	27
tt0060876	tt0212698	3	23
tt0060953	tt0165593	4	3
tt0060981	tt0058853	1	49
tt0060996	tt0058853	1	58
tt0061025	tt0793361	7	4
tt0061027	tt0060028	1	3
tt0061048	tt0861682	1	12
tt0061063	tt0058853	1	75
tt0061100	tt0058853	1	63
tt0061104	tt0058836	2	10
tt0061110	tt0212699	2	12
tt0061129	tt0212698	3	26
tt0061143	tt1157603	1	2
tt0061145	tt0212698	3	31
tt0061171	tt0058853	1	54
tt0061172	tt0058836	2	11
tt0061178	tt0058853	1	70
tt0061185	tt0058853	1	50
tt0061187	tt0861682	1	4
tt0061231	tt0056792	5	3
tt0061312	tt0797756	1	2
tt0061327	tt0212699	2	20
tt0061348	tt0797756	1	1
tt0061361	tt0212699	2	37
tt0061392	tt1323588	1	12
tt0061413	tt0212699	2	28
tt0061422	tt0046593	14	11
tt0061425	tt1323588	1	7
tt0061430	tt0212698	5	7
tt0061466	tt1323588	1	3
tt0061527	tt1323588	1	5
tt0061533	tt1323588	1	2
tt0061544	tt0212698	4	29
tt0061552	tt0200358	1	8
tt0061554	tt0058853	1	84
tt0061564	tt0058853	1	101
tt0061639	tt0212699	2	27
tt0061642	tt0058853	1	102
tt0061644	tt0212698	4	20
tt0061666	tt0212698	4	24
tt0061713	tt0165593	3	1
tt0061721	tt0058853	1	123
tt0061760	tt0212698	4	23
tt0061813	tt0212698	5	4
tt0061825	tt0212699	2	29
tt0061871	tt0212698	5	8
tt0061901	tt0212699	3	1
tt0061915	tt0398430	1	10
tt0061921	tt0398430	1	8
tt0061940	tt0161126	7	2
tt0061965	tt0212698	5	1
tt0061967	tt0058853	1	93
tt0061991	tt0165593	3	2
tt0062066	tt0058853	1	107
tt0062072	tt0212699	2	16
tt0062074	tt0058853	1	133
tt0062081	tt0058853	1	79
tt0062095	tt0165593	3	4
tt0062134	tt0212698	5	10
tt0062158	tt0058853	1	103
tt0062170	tt0161126	8	3
tt0062172	tt0212699	2	14
tt0062176	tt0398430	1	3
tt0062214	tt0165593	3	3
tt0062280	tt0212698	4	12
tt0062303	tt0212698	4	28
tt0062344	tt0212699	2	13
tt0062348	tt0212699	2	18
tt0062406	tt0212699	2	24
tt0062423	tt1157603	1	3
tt0062469	tt0212699	2	25
tt0062471	tt0058853	1	98
tt0062476	tt0298665	1	8
tt0062495	tt1323588	1	6
tt0062603	tt0212699	4	5
tt0062672	tt0058853	1	126
tt0062717	tt0058853	1	132
tt0062720	tt0212699	4	13
tt0062735	tt0407402	1	8
tt0062750	tt0298665	1	33
tt0062756	tt0062599	1	4
tt0062791	tt0058853	1	125
tt0062795	tt0212699	4	4
tt0062811	tt0058853	1	115
tt0062835	tt0212699	4	14
tt0062843	tt0212698	5	12
tt0062845	tt0165593	3	5
tt0062854	tt10524910	\N	\N
tt0062910	tt0058853	1	113
tt0062954	tt0212698	5	19
tt0062956	tt0212698	5	20
tt0062999	tt0212699	4	16
tt0063046	tt0062568	1	0
tt0063047	tt0165593	3	11
tt0063078	tt0212698	5	21
tt0063100	tt0260607	\N	\N
tt0063150	tt0058853	1	111
tt0063187	tt0396335	1	6
tt0063209	tt0212698	5	16
tt0063235	tt0407402	1	13
tt0063264	tt0165593	4	2
tt0063266	tt0165593	3	10
tt0063284	tt0212699	4	2
tt0063298	tt0914702	9	44
tt0063302	tt0212698	5	26
tt0063327	tt0212698	5	11
tt0063343	tt0212699	3	13
tt0063349	tt0058853	1	124
tt0063355	tt0396335	1	1
tt0063367	tt0058853	1	131
tt0063377	tt0212699	4	8
tt0063381	tt0200358	1	17
tt0063438	tt0212698	5	22
tt0063449	tt0407402	1	2
tt0063455	tt0914702	12	26
tt0063457	tt0407402	1	11
tt0063460	tt0212699	3	12
tt0063481	tt0212699	3	35
tt0063566	tt0797756	1	3
tt0063590	tt0297530	1	2
tt0063628	tt0200358	2	1
tt0063637	tt0058853	1	122
tt0063639	tt0165593	4	1
tt0063641	tt0793361	7	5
tt0063645	tt0212699	3	31
tt0063659	tt0212698	5	15
tt0063676	tt0165593	3	8
tt0063686	tt0168387	2	1
tt0063702	tt0212698	5	13
tt0063706	tt0058853	1	109
tt0063743	tt1157603	1	4
tt0063749	tt0398430	2	7
tt0063795	tt0165593	4	4
tt0063815	tt0212698	5	24
tt0063817	tt0407402	1	12
tt0064058	tt0958966	1	2
tt0064077	tt0958966	1	13
tt0064090	tt0058853	1	138
tt0064097	tt0058853	1	156
tt0064138	tt0958966	1	1
tt0064163	tt0058853	1	143
tt0064173	tt0058853	1	150
tt0064174	tt0062578	2	7
tt0064184	tt0212699	4	33
tt0064187	tt0958966	1	3
tt0064214	tt0063875	1	0
tt0064289	tt1601979	1	6
tt0064292	tt0958966	1	10
tt0064304	tt0806910	1	9
tt0064309	tt0398430	3	3
tt0064314	tt0797756	1	5
tt0064325	tt0797756	1	4
tt0064342	tt0058836	3	10
tt0064361	tt0212699	5	2
tt0064367	tt0058836	3	13
tt0064404	tt0058853	1	153
tt0064412	tt0165593	5	1
tt0064444	tt0212699	4	25
tt0064468	tt0165593	4	9
tt0064475	tt0065303	1	0
tt0064502	tt0058853	1	158
tt0064525	tt0165593	4	8
tt0064584	tt0958966	1	4
tt0064600	tt0958966	1	8
tt0064636	tt0063927	1	0
tt0064648	tt0065317	1	0
tt0064657	tt1601979	1	5
tt0064678	tt10524910	\N	\N
tt0064692	tt0297621	1	15
tt0064700	tt0958966	1	11
tt0064705	tt0046593	16	2
tt0064725	tt0065327	1	0
tt0064830	tt0398430	3	2
tt0064901	tt0212699	4	34
tt0064903	tt0212699	4	26
tt0064922	tt0297621	1	30
tt0064942	tt1601979	1	4
tt0064998	tt0058853	1	142
tt0065014	tt4383620	1	4
tt0065015	tt0058836	3	5
tt0065017	tt0058853	1	144
tt0065056	tt0212699	5	11
tt0065066	tt1245421	\N	\N
tt0065068	tt0058836	3	11
tt0065074	tt0242211	8	1
tt0065087	tt0063955	1	0
tt0065098	tt0165593	5	4
tt0065115	tt0914702	12	13
tt0065141	tt0063928	1	0
tt0065158	tt1157603	1	5
tt0065190	tt1601979	1	7
tt0065232	tt0065357	1	0
tt0065381	tt0066625	1	1
tt0065382	tt0958966	2	11
tt0065404	tt0165592	1	4
tt0065426	tt0298665	3	25
tt0065461	tt0212699	5	32
tt0065487	tt0046593	17	2
tt0065540	tt1685416	1	10
tt0065559	tt0958966	2	7
tt0065608	tt0200358	3	22
tt0065609	tt1342999	1	1
tt0065645	tt0165592	1	7
tt0065682	tt1685416	1	2
tt0065689	tt0058853	1	170
tt0065697	tt1415092	4	3
tt0065725	tt0165593	6	4
tt0065728	tt0958966	2	13
tt0065741	tt0797756	1	6
tt0065745	tt0797756	1	8
tt0065811	tt0297621	3	30
tt0065822	tt0165592	1	8
tt0065849	tt0212699	5	34
tt0065860	tt0165593	5	7
tt0065864	tt0058853	1	160
tt0065902	tt0212699	5	27
tt0065910	tt0958966	2	2
tt0065937	tt1685416	1	8
tt0065941	tt1342999	1	2
tt0065971	tt0297621	2	36
tt0065972	tt0212699	5	17
tt0065982	tt0165592	1	3
tt0066000	tt0066681	1	0
tt0066003	tt1685416	1	1
tt0066028	tt0165593	6	1
tt0066084	tt1077047	1	1
tt0066180	tt0958966	2	6
tt0066235	tt0066631	1	0
tt0066254	tt0066705	1	0
tt0066257	tt0797756	1	7
tt0066278	tt0212699	6	1
tt0066280	tt0958966	2	3
tt0066281	tt0165592	1	16
tt0066293	tt0058853	1	161
tt0066305	tt0165593	5	8
tt0066313	tt0165593	6	2
tt0066326	tt0065343	1	0
tt0066332	tt0066708	1	0
tt0066340	tt0797756	1	9
tt0066347	tt0058853	1	159
tt0066353	tt0165593	5	6
tt0066394	tt0058853	1	169
tt0066439	tt0806910	1	2
tt0066440	tt0806910	1	1
tt0066467	tt1685416	1	12
tt0066504	tt0165593	6	3
tt0066510	tt1157603	1	6
tt0066521	tt0055701	6	15
tt0066525	tt0958966	2	5
tt0066529	tt0958966	2	9
tt0066570	tt0165593	6	7
tt0066591	tt0212699	6	2
tt0066744	tt0165593	6	5
tt0066755	tt0165592	1	11
tt0066768	tt0212699	6	33
tt0066788	tt0212699	6	20
tt0066810	tt0068045	1	0
tt0066874	tt0212699	6	14
tt0066884	tt0165593	6	6
tt0066910	tt0165593	7	4
tt0066912	tt0058836	4	9
tt0066931	tt1466074	1	3
tt0066932	tt1466074	1	1
tt0066933	tt1466074	1	0
tt0066934	tt1466074	1	4
tt0066964	tt6074004	1	2
tt0066978	tt0058836	4	4
tt0066979	tt0927036	1	1
tt0067007	tt0165593	6	8
tt0067046	tt0068067	1	0
tt0067070	tt0165592	2	3
tt0067071	tt0165592	1	23
tt0067081	tt0212699	6	15
tt0067098	tt0935096	\N	\N
tt0067106	tt0797756	1	11
tt0067114	tt0165592	1	18
tt0067130	tt0212699	7	6
tt0067194	tt0068077	1	1
tt0067196	tt0165592	1	13
tt0067207	tt0159876	1	10
tt0067265	tt0212699	7	11
tt0067267	tt0065349	2	12
tt0067272	tt0212699	6	28
tt0067348	tt0212699	5	30
tt0067363	tt0065349	2	11
tt0067387	tt0165592	1	22
tt0067426	tt0165592	2	6
tt0067428	tt0165593	7	1
tt0067442	tt0806910	1	12
tt0067509	tt0066693	1	0
tt0067518	tt0165592	2	4
tt0067529	tt0066685	1	0
tt0067536	tt0165592	1	20
tt0067542	tt0066696	1	0
tt0067552	tt0297621	3	22
tt0067586	tt0165593	6	9
tt0067596	tt0806901	1	1
tt0067611	tt0297621	3	16
tt0067612	tt0061266	5	1
tt0067623	tt0212699	6	19
tt0067653	tt0165593	7	2
tt0067675	tt0806910	1	11
tt0067687	tt0212699	6	30
tt0067743	tt2162303	\N	\N
tt0067762	tt0165592	2	7
tt0067826	tt0165593	7	3
tt0067829	tt0806910	1	10
tt0067830	tt0806910	1	8
tt0067831	tt0806910	1	6
tt0067832	tt0806910	1	5
tt0067833	tt0806910	1	3
tt0067834	tt0806910	1	129
tt0067841	tt0212699	6	16
tt0067860	tt0797756	1	10
tt0067875	tt0165592	2	1
tt0067877	tt0165593	7	9
tt0067905	tt0058836	4	10
tt0067910	tt1157603	1	7
tt0067978	tt0165592	1	19
tt0068175	tt0212699	7	20
tt0068220	tt0212699	8	5
tt0068247	tt0068527	1	5
tt0068253	tt0068044	1	0
tt0068254	tt0165592	3	8
tt0068265	tt0212699	7	33
tt0068299	tt0849411	\N	\N
tt0068362	tt0212699	8	17
tt0068395	tt1466074	1	7
tt0068396	tt1466074	2	4
tt0068397	tt1466074	1	2
tt0068398	tt1466074	2	1
tt0068399	tt1466074	1	5
tt0068400	tt1466074	1	6
tt0068401	tt1466074	2	2
tt0068402	tt1466074	2	3
tt0068405	tt0068527	1	4
tt0068410	tt0068060	1	1
tt0068422	tt0165592	2	17
tt0068474	tt0068064	1	0
tt0068512	tt2162303	\N	\N
tt0068525	tt0068527	1	3
tt0068601	tt0297628	1	4
tt0068630	tt0165592	3	7
tt0068651	tt10303278	\N	\N
tt0068689	tt0165593	8	2
tt0068712	tt0068527	1	2
tt0068736	tt0797756	1	12
tt0068770	tt10282668	\N	\N
tt0068788	tt0165592	3	9
tt0068799	tt0797756	1	15
tt0068804	tt0165593	8	3
tt0068807	tt0212699	7	30
tt0068819	tt0212699	8	16
tt0068823	tt0068093	1	0
tt0068829	tt0165593	7	8
tt0068886	tt0212699	8	2
tt0068896	tt0165593	8	4
tt0068905	tt0165592	3	4
tt0068937	tt0165593	7	7
tt0068946	tt0212699	7	29
tt0068949	tt0165593	8	1
tt0068975	tt0068527	1	1
tt0068977	tt2162303	\N	\N
tt0069023	tt0212699	7	16
tt0069040	tt0797756	1	13
tt0069070	tt2162303	\N	\N
tt0069071	tt0212699	7	19
tt0069163	tt0806910	1	22
tt0069176	tt0165592	3	1
tt0069193	tt0068126	1	0
tt0069274	tt0423738	1	3
tt0069275	tt0423738	1	1
tt0069285	tt0222545	1	5
tt0069288	tt0069633	1	0
tt0069313	tt0165592	2	11
tt0069323	tt0068135	1	0
tt0069346	tt0806910	1	24
tt0069347	tt0806910	1	21
tt0069348	tt0806910	1	19
tt0069349	tt0806910	1	25
tt0069357	tt0069643	1	0
tt0069367	tt1414347	1	4
tt0069376	tt0212699	8	4
tt0069388	tt0797756	1	14
tt0069399	tt7525698	\N	\N
tt0069402	tt1414347	1	2
tt0069440	tt0212699	7	17
tt0069480	tt0046593	17	4
tt0069512	tt0222545	1	7
tt0069610	tt0174434	1	4
tt0069673	tt0212699	8	32
tt0069675	tt0165592	3	19
tt0069680	tt0165593	8	5
tt0069767	tt1695587	\N	\N
tt0069777	tt10303278	\N	\N
tt0069802	tt0797756	1	16
tt0069839	tt0165593	8	6
tt0069857	tt0297621	6	9
tt0069858	tt0165593	8	8
tt0069900	tt1466074	2	6
tt0069901	tt1466074	3	2
tt0069902	tt1466074	3	3
tt0069903	tt1466074	3	4
tt0069904	tt1466074	2	8
tt0069905	tt1466074	3	1
tt0069906	tt1466074	2	7
tt0069910	tt0165593	9	2
tt0069931	tt0212699	8	29
tt0069940	tt0068527	1	7
tt0070019	tt0164295	1	4
tt0070043	tt0931193	1	1
tt0070044	tt0931193	1	2
tt0070045	tt0931193	1	3
tt0070073	tt0202206	1	2
tt0070117	tt0407366	1	6
tt0070123	tt0065296	4	4
tt0070153	tt0165592	3	20
tt0070161	tt0069589	1	0
tt0070171	tt0165592	4	2
tt0070226	tt0212699	8	22
tt0070247	tt0762803	1	2
tt0070324	tt0070977	2	1
tt0070330	tt0068527	1	8
tt0070333	tt0297621	5	20
tt0070353	tt0069606	1	0
tt0070360	tt0165592	3	21
tt0070385	tt0298709	1	5
tt0070440	tt1667703	1	2
tt0070441	tt1695587	\N	\N
tt0070476	tt1667703	1	3
tt0070480	tt0164295	2	4
tt0070482	tt0165592	3	16
tt0070494	tt0312084	1	3
tt0070542	tt1049986	1	1
tt0070546	tt0212699	8	21
tt0070551	tt0069620	1	0
tt0070577	tt0165593	9	4
